评论日期,评论内容,产品名,点赞数,子评论数/追评数,一级评论,二级评论,三级评论
2025,As someone who uses a computer for work and my gaming pc I'm looking at my monitors for about 10-12 hours a day. Makes a huge difference as only one of my monitors has the light bar and I find that monitor far easier to read than the other identical monitor. so yep... I love it.. I have the pro version as well. No flickering lights so that's good as well.,,1,0,,,
2025,Thanks for your honest review. Decided to return it too per your review,,1,0,,,
2025,I love the ramble videos and videos like these besides leetcode videos,,4,0,,,
2025-11,"Thank you. I got the same bar and returned it the next day. Like you, I felt my eyes were getting more tired with it than without. I also didn’t like the mounting mechanism, as it was sliding slowly. By the way, I have a BenQ BL320PH. The monitor is a few years old, and I love it, but the Light Bar didn’t do much for me.",,0,0,,,
2025,bro is never getting sponsors (do more ramble please I just F ed up my amazon OA),,2,0,,,
1年前（修改过）,"You have WAY too much ambient light in your office, so it is not surprising that you do not get any benefit. This is for those of us who who work better in a low ambient light environment (which does help eye strain). The glare reduction advertised comes from the way that the light bar prevents shining on the screen itself.",,1,0,,,
2025,No BS is what we always expect from Cracking Faang,,3,0,,,
2019,Neat.... Looks like it has its place and does what it needs to pretty well.,,0,0,,,
2021,"HI Josh!
Does it affect the sight to your other monitors?
Thanks",,0,0,,,
2019,"Hey Josh! Great video.
I have a question. Could you review any keyboard of the brand Havit?
Recently, I bought the Havit HV-KB432,L which in my opinion is very good for the money.
It has got RGB backlighting, a wrist rest, and a non-gamerized font. I bought it for about 40$ on AliExpress.
It would be awesome if you could review this, or any other keyboard of the brand.
Thank you.",,1,0,,,
2025,Not a promotion! BENQ sent me these for an honest review.,,14,0,,,
1年前（修改过）,Please turn the shade on that floor standing lamp so the seam faces the wall.,,27,0,,,
2025,There should be a software that you can download so that you can control the lighting from there,,2,0,,,
2026-05,"Thanks for this. One thing that crossed my mind was whether the control lights on the pro might be distracting if in a dark room. On researching you cannot turn these off, they are on all the time and I think in the dark they might be annoying ?",,0,0,,,
2025,"Can the halo's front & back lights be controlled separately? Meaning can I have the front light be at 20% warm temperature, while the back light at 60% cold temperature",,0,0,,,
1年前（修改过）,"This is the review that made me decide on the Halo, thanks. BenQ needs to make this available in Canada.",,0,0,,,
2025-08,Would like to see you review the Halo 2 vs Pro. Thxs.,,1,0,,,
2025,"I think Halo is the one for me. Want the backlight light for my OLED monitor such as gaming/movies, while the front light when doing other stuff.",,3,0,,,
2025,Thanks. Think im going with the halo actually since i do not have a backlight.,,1,0,,,
2025,"Excellent video, thank you",,0,0,,,
2025,"Great video!! I too was trying to decide between the Pro and Halo. I chose to Pro for the same reason, the proximity sensor. After just a few days of hands free operation I saw the ‘halo’ as pointless in my personal case since the back of my desk is already trimmed with wall washing LEDs. Plus the puck remote would be yet another piece of hardware cluttering my desk. I hope BenQ produces a version with some smart capabilities that allows for a sunrise/sunset accent light illuminates at about 5% after sunset then lights to the desired illumination via the proximity sensor when the desk is approached.",,1,0,,,
2025,Is benq screen bar pro compatible with benq webcam accessory?,,0,0,,,
2025,I love this review!! I want a screen bar now,,0,0,,,
2025,Halo is an outdated pos.,,0,0,,,
2025,Nice breakdown. This helped me decide and i think ill go with the pro just to have even less clutter on my desk and the auto light when walking into a dark office!,,2,0,,,
1年前（修改过）,"Thanks for this video, I had been looking at monitor lights due to working in a small space with limited options.  I watched a few videos but yours was really clear and I ended up ordering the PC, for example playing guitar to record, then the auto on/off switched off!",,1,0,,,
2025-12,well done review and thank you for your clarity on the matter. sub'd,,0,0,,,
2025,I thought the Halo uses USB-A. Did they switch it to USB-C?,,0,0,,,
2025,Pro added to cart. Thanks.,,0,0,,,
2025,I agree the hands-free BenQ Pro version is the best option to set it and forget it.  Wishing you and your family Happy Holidays.  Kudos from NYC.,,0,0,,,
2025,Thanks Ben for a excellent video once again that caused me to buy stuff :P Unfortunatly i could not use your affiliate links as they are all UK based.,,0,0,,,
2025,"Great practical review of both products. I do a lot of photo editing and need to work in both 6500 Kelvin and 5000 Kelvin, does either device allow specific temperatures to be dialled in, or is it just a case of turning the temperature to what you believe are those temperatures?",,0,0,,,
2025,"I have the ScreenBar Pro and it's great. I didn't think it'd be a big deal, but has been so nice. I have a strip of white USB-powered LEDs on the back of my monitor for the backlight, so the all auto of the Pro appealed since I had no need of the backlight from the Halo.
Hope you have a great Holiday Ben",,0,0,,,
2025,"Hi, for the Halo, how responsive is the wireless controller? Is it instantaneous? does it have any delay between input?",,0,0,,,
2025,"How well do these light the user, for instance during a video call? And how do they integrate with a webcam that sits on top of the monitor?",,0,0,,,
1年前（修改过）,"A nice alternative to the auto on off of the pro, if you happen to have a monitor/TV supporting it, is to use on of the usb ports on the display to power the light. Many displays only send power to these ports when the display is on, so the light will turn on and off with the display you're using. You'll need a 1.5 Amp port, which often gets labelled as HDD (for connecting a harddrive) on TVs.

I personally use an alternative to both of these, as I wanted a wireless controller, but wasn't a fan of the one for the halo. I have found the biggest downside with all of these is mounting a webcam - I've started putting the webcam next to the light bar, then flip the light bar up to use it (which also helps illuminate my face).",,0,0,,,
2025,"after all your keyboard reviews, do you use the defy permanently?",,1,0,,,
2025,Once again Ben Frain is convincing me to spend money. :),,1,0,,,
2025,"ok, now you make plain ads ....It is true that a screenbar is a nice addition. But the BenQ has several downsides. Quntis Screen Linear is better in most ways and lower priced.",,1,0,,,
2025,BenQ definitely put a lot of thought into the design.,,0,0,,,
2025-12,ai voice lmao,,0,0,,,
2025,This guy is really excited about light bars.,,3,0,,,
2025,"Mine doesn’t wake up when I wave my hand, no matter how close I get or which angle I try. It just doesn’t light up like yours. Also, the auto dim feature doesn’t seem to work properly it stays the same regardless of the ambient light, even if I block the sensor or flash a light at it. Where did you get your Halo from? Amazon or the BenQ official website?",,1,0,,,
2025-10,"Can you please make a video of all the features and settings of the dial or - control pod - so we can save it, and watch it every time we need it?",,0,0,,,
2024,How long is the hook? Does it apply pressure on the monitor bezel? I have an almost bezelless screen so I'm wondering if it would work,,0,0,,,
2025,"Just got my BenQ Screenbar Halo, but it doesn't rotate. But I am able to change the light angle through mounting",,0,0,,,
2024,I have a G70A odyssey monitor. its not a curved monitor but the back of it is not flat. will this lightbar work? I tried the Xiao Mi and it doesnt really have a secure clamp.,,0,0,,,
2024,how does the hand gesture work ? mine is not working,,0,0,,,
2024,"I have 2 curved 30"" monitors. Is 1 OK for dual monitors?",,0,0,,,
2024,that obstruction in the middle of the light bar tho. seems like it would be a bright point with all the light reflecting off of it.,,0,0,,,
2024,Just a few videos earlier you said that the xiaomi is a benq killer. Now you say that the benq is the best money can buy and your blown away... Sad to see that you didnt do the proper research before on your previous versions...,,7,0,,,
2024,"You have a good monitor stand, get rid of the usless board under the monitor",,1,0,,,
2025,Thanks for Review! Quick question: Isn't it glare on the monitor  4:43? I just bought mine and I can't understand whether setup is wrong or it's expected to have this light on the screen. Thank you for reply!,,2,0,,,
2023,Don’t you see the dust on the screen when lamp positioned not to shine in your eyes?,,0,0,,,
2023,Will they fit samsung chg70 27,,0,0,,,
2023,I would get this if it has the same dial control as the Plus,,0,0,,,
2025,and what if the screen is bent?,,0,0,,,
2024,Work well on a curved monitor?,,0,0,,,
2024,I have two big monitors for CAD (32 inches). That means I must buy two bar lights!,,0,0,,,
2023,Use some time foil to or some reflector to bend the back light up,,3,0,,,
2025,Be aware if you have a Aluminum Monitor such as the Samsung G9. The BenQ Light slides and doesn't sit properly. It slides and leans forward over the screen. I am looking into ways so that it doesn't slide. I have put a piece of painters tape where the foam piece on the back. It seems to be holding. Will see what happens in the future as the monitor warms up and the light adhesive loosens. Its a great light. This is the only thing that I have had problems with.,,0,0,,,
2024,"Disclaimer for anybody interested in this product, the wake-up function where you move your hand over the remote to turn it on is no longer available in models manufactured after Jan 10th 2023.",,16,0,,,
2年前（修改过）,"Bias lighting is extremely important. Its the reason i bought this light bar. the Benq's bias light is super weak. If you use both lights at the same time, they are not independently controllable.",,1,0,,,
2023,"""you get what you pay for"" that is not always true",,2,0,,,
2023,This guy really said that the light bar missing modularity with a detachable USB removes the burden of assembling it. He said this gives ease of use and you don't have to assemble anything. I'm without words.,,88,0,,,
2024,Bought it today! Can’t wait to try it. Thanks for sharing!,,2,0,,,
2022,Just curious but what about if I have a second monitor at an angle does the light bleed over?,,0,0,,,
2024,do you believe you gain anything with benq halo better than quntis pro+?,,0,0,,,
2023,"@JSyntax  How powerful is the real light? Do you think it's adequate as a only source of lighting in the room (along with screen bar of course)?
Also, how powerful is the backlight when compared with a regular (smart-)bulb like the one you use behind the monitor?... and do you still use than one?",,2,0,,,
2025,I bought one of these but overlooked required screen thickness. Im using an asus rog swift 32 in and its rather thin. Not sure if its going to work with a screen thickness of about a half inch.,,0,0,,,
2023,"How would this work with multiple monitors (two or three), slightly angled? Would the light spill over to the side monitor(s) if they are right next to each other?
Appreciate your feedback.",,3,0,,,
2023,"will this fit on my laptop, Lenovo 5i pro?",,0,0,,,
2024,I can't get over that it's not black. That really bugs me. lol,,1,0,,,
2024,"Great review! Does anyone know if there is a light bar which fits 32"" monitor perfectly?",,1,0,,,
2023,What's that desk shelf?,,0,0,,,
2023,Does this work well for video conferencing?,,0,0,,,
2023,"Oof, one look at that wireless remote and I instantly know I won't be getting it. Insane that in 2022 these touch controls with no hardware feedback still make it out of the top brands.",,13,0,,,
2023,Can you clip a small webcam to it?,,1,0,,,
2024,Can't believe you are using that stock monitor stand.,,0,0,,,
2022,Is the light spread that much better then the xiaomi?,,0,0,,,
2023,Can you put a webcam on top of this?,,1,0,,,
2025,"I love the light. But the remote... It is very power consuming, i have to change 3 AAA batteries frequently",,1,0,,,
2023,xiamo bar light is much better than BenQ,,0,0,,,
2024,who the hell put their screen this low lol,,0,0,,,
2024,bros light is better than monitor lol,,0,0,,,
2023,“Bends light”,,2,0,,,
2023,What happens to the webcam then?,,0,0,,,
2023,"This product is well designed. However it has its limitations. I have found the light bar is effective depending on your eye to screen distance, & the screen height in relation to your eye height. 

In other words if you sit low to your screen you may be distracted by the light, that otherwise would not illuminate above your screen. Also, the light, even on its lowest setting is almost too bright. All I wish to do is light a keyboard & Wacom tablet, not the whole desk. 60% out of 100% for me.",,4,0,,,
2024,"I don't like how this guy shits on BenQ light bars in his other videos, and here he is praising them like crazy. 

A fair and honest review of all light bars is what the audience actually wants to see, instead of brand bashing to appease the minority.",,0,0,,,
1年前（修改过）,So much talking that you forget to tell are the dimming and color-temperature controls on that remote rotational or touch...,,0,0,,,
2024,Why would anyone need this... lmfao,,1,0,,,
2023,"The ""voodoo magic"" is literally a simple asymmetrical reflector. There's also more than plenty of light still reaching the monitor, it's unavoidable and it's visible in the video. 
With that said, the light bar is not bad, but it's most certainly not worth the money. And you definitely over-blown it to the point it's just misleading..",,4,0,,,
2023,Not worth the money in comparison to Xiaomi.,,0,0,,,
2024,What happened to the benq being an overpriced ripoff? What a sellout,,1,0,,,
2025,are you and Daniel Titchener cousins?,,0,0,,,
2024,Lmao how did you say this was a rip off in a video just one month before and now you're here talking about how great it is? I'm guessing whoever pays you is suddenly great?,,6,0,,,
2023,"Sorry but BAD VIDEO, BAD PRODUCT. Check Out comparison Videos of the BenQ vs the xiaomi. The BenQ IS 3x as expensive and has less functions. With the xiaomi you even have a Wireless remote for the ligutbar and dont have to reach for it",,1,0,,,
2025,@enesözen  buna ne dersiniz?,,1,0,,,
2024,A non removable cable on a 150+ bucks light? Wtf is benq thinking here? Are they insane?,,0,0,,,
2026-06-11,I bought it yesterday. It is the best addition to my PC setup. It makes my PC setup cozy during night usage. I am really in love with this lamp. Benq you have created a beautiful product,,1,0,,,
2026-05,Love this lamp,,2,0,,,
2026-05,"For the price of this light, you'd think you could include a USB-C for charging the wireless controller.",,5,0,,,
2026-05,It's awesome,,1,0,,,
2025,"GREAT!!  Wish it was available in Lahore, Pakistan.",,2,0,,,
2026-03,What if you use 2 screens and 2 bars? will they not emit light in each other monitor?,,0,0,,,
2025,I would have liked them to also explain the best position for the webcam adapter...,,6,0,,,
4个月前（修改过）,"No Zigbee, Matter or any kind of connection with domotics? Can't believe this in 2026... not so ""smart"" lightning...",,0,0,,,
2026-05,Any type-c cable will work for controller right?,,1,0,,,
2026-02,"Got one of these yesterday and I love it. I’m frequently working in low light and it’s noticeably more comfortable on my eyes, not to mention providing pleasing ambiance.",,6,0,,,
2026-01,"""Less grumpy???"" I'm sold!",,4,0,,,
2026-05,"I have a screen bar that did illuminate the screen {the dust was so visible!) when attached to the monitor. I have a shelf above the monitor, the front edge of which was about six inches in front of the monitor. I moved the light bar to the edge of the shelf, et voila, the monitor is now not illuminated and the desktop papers in front of me are now well lit. The only issue I have is that the switch for my light bar is in the cord about 20 inches from the bar, and hangs down the back of the monitor. I have to do the old reach around to grab the switch; not convenient. I'd prefer a touch switch on the light bar mount.",,0,0,,,
2026-01,"Great review Andy. I have seen several reviews on this light and you have pretty much sold me on it. I like the quality of Benq products, I have one of their screens for photography and it's great. I think this light would compliment my work environment.",,1,0,,,
2026-01,"My editing area is completely indirectly lit, from where I sit. I cannot see a bare bulb / LED anywhere, but the entire room is softly illuminated with an even light. I had it that way for years before I started editing photos. Years in IT (and honestly, common sense once considered) dictated that indirect task lighting is way to go for me. 

This looks like a definite upgrade but I'm like you -- I've never really considered one.",,2,0,,,
2026-03,"An interesting product, if one has the funds.",,1,0,,,
2026-01,I always imagined this light would cause glare on the monitor like any light. And Ive always thought why do you need to shine a light on a screen which is already a light? Seems it lights up the keyboard and desk top mainly?,,1,0,,,
2026-01,"Thanks Andy, Xmas pressie to myself sorted! Wishing you and yours a very happy Xmas and a prosperous New Year.",,1,0,,,
2026-01,what is that other plastic piece for with the yellow tape?,,0,0,,,
2026-04,What about compatibility with screen hoods? I don’t think it’s practicable is it?,,0,0,,,
2026-01,"I bought the original ScreenBar nearly a decade ago, I really like it, and it is built well so it's lasted a long time. I've been eyeing the Halo 2 for a while, I don't really NEED an upgrade, but I am tempted. Until I saw this review I wasn't aware of some of the upgraded features the Halo 2 had. It's expensive, but maybe it's worth it for something I'd hopefully use for another decade. Hmmm.",,1,0,,,
2026-01,"I have 2 27"" BenQ photographer monitors with the shades which, in my case, they don't offer anything on the monitors as they are for office environment with lights everywhere and now you making me thinking about the bar but as I'll need two make the decision harder! Are you happy now?",,1,0,,,
2026-01,"How is this light integrated with your calibration of the screen and with your general editing. Even if not a single photon hits the screen (which I doubt), it must lower the perceived contrast of what is radiated from behind - from the screen - not? Like when we gaze through a curtain to get a glimpse of something ... extraordinary.",,0,0,,,
2026-01,"Interesting; likely more to the  product's usefulness  than we realize . 
I feel you touched on an important part of editing photos, although it's more likely modern tek has left me behind considering people walk around editing photos on pads/tablets/phone in consistently changing light. 
Do enough know the importance of having their editing room free of nature light (as much possible) so they see their screen images the same day or night ? Or isn't that important now ?",,0,0,,,
2026-01,"This video is a great antidote for GAS. It’s almost like a vaccine because watching it distracts you from the gear you really want to look at, and instead makes you spend some time thinking about something that you probably won’t buy at the same time taking your mind off of the useless stuff you probably would buy.
That said if they come out with a cheaper version without the high tech adjustment disc, I would definitely consider it.
 Have a great holiday season,, thanks for all the cool stuff you’ve talked about this year.
Al",,1,0,,,
2026-01,"Hi Andy: Thanks for creating and sharing this video.  While I have rarely considered the light setup in my workspace, your video does establish some compelling information for me to take a look at this.  I do spend many hours in front of my computer so maybe this product would be a welcomed purchase.  Keep well, and my heart goes out to Australia during this recent times.  Cheers, Keith Pinn (Barrie, Ontario Canada)",,1,0,,,
2026-01,"Cheers! I am not sure how that would fit my monitor - it has a cowling top, right and left which came with it. The monitor's brand? BENQ. Please tell me, BENQ if it will fit. Cheers.",,0,0,,,
2026-01,"My understanding is that the main function of the bar is to softly illuminate the desk area in front the monitor rather than improving monitor viewing, so you can type and refer to documents on the desk easily. It also adds to the room ambience.",,1,0,,,
2026-01,"I have an earlier version that has a cabled adjustment dongle which, rather than the new sensor driven one here, has a simple but effective dial to change temperature.  That part of the new light is a bit of unneccesary tech to push the retail price up in my opinion!
Your review is bang on target.  Not a must-have, but it does make the working environment much friendlier - especially together with the (Benq) monitor's eyesaver software.
I don't need the auto light adjust to switch on when I approach the monitor though, as leaving it in standby all day and night would be an unnecessary drain on my electricity bill and pension",,1,0,,,
2026-01,"Exchange rate makes too many things a luxury and this one I can live without but I agree, I looks like they have done their homework. Now you can be happier doing yours? Merry festivities to you and yours.",,1,0,,,
2026-01,Thanks for the review. If you use shades on your monitor that lamp is useless.,,0,0,,,
6个月前（修改过）,"""Assuming you don't live in an area prone to constant earthquakes""... me watching the video in Japan",,3,0,,,
2026-01,"So, does your wife get to keep it?  I've been looking at BenQ displays and saw these lights in passing. Like you, I would never had considered it, but now you have me wondering...",,0,0,,,
2021,I've had the BenQ for years and just learned what the other buttons do after watching this.,,1147,0,,,
2021,"Dang it, I didn't even know this existed, now I NEED it!",,202,0,,,
2021,I never knew I needed this until now.,,302,0,,,
2021,And in this new episode of things I never new existed but now need to buy...,,90,0,,,
2021,"I don't need it...
I don't need it...
I NEED IT!!",,53,0,,,
2021,If you're really cheap grab a 9 dollar led lamp from ikea and bounce it off the ceiling.,,40,0,,,
2021,What I have used with these light bars was to use it turned to the wall as a kind of bias lighting. This way it helps my eyes and I have no glare in the screen or my face,,8,0,,,
2021,"from my experience the best way to work is with a lamp that is directed to the ceilings, spreading ambient light. working with light in the room causes more eye strain..",,1,0,,,
2021,Ok but where do you put your 4k Brio webcam?,,6,0,,,
2021,0:00 umm sir that is a whole television,,0,0,,,
2021,"I would also suggest putting the lamp so it would face the monitor's back. Sometimes it might be too much when a lot of light faces you: both lamp and monitor. In such a case, it would be reasonable to light up the back of the monitor to reduce your eye strain, especially when you don't need to read or write anything on the table. Even if the lamp stays that way, you should get enough light from it to see things on the table.

Another note: it might be individual for everyone, but it's great to see a lamp with yellow color light. Another superb way to reduce eye strain ;))",,4,0,,,
2021,I have the Xiaomi Light bar and its awesome. The wireless control is simple and the bar is actually magnetically attached to the counter weight. The weight plugs into a type c and the light is powered through pins.,,1,0,,,
2021,One of the most underrated tech youtubers. Keep doing what youre doing!,,141,0,,,
2021,Who came here not for the light but for the soothing voice to sleep?,,0,0,,,
2021,I didn't know I wanted this. Thanks for helping me consoom.,,7,0,,,
2022,"I never even knew about these. Now, I NEEEED one. When I'm on zoom calls, the reflection from my ceiling fan light makes video calls useless.",,0,0,,,
2021,Light bars that can tilt all the way up I think are better alternatives compared to those big square diffused lights used for streaming that requires a stand for itself. Was about to buy myself one when I realized my light bar is more than enough for that.,,3,0,,,
2023,bruh..dude has an entire tv screen.baller.,,0,0,,,
2021,"This video is exactly what I was looking for. I see everyone with a Light Bar, but could never understand exactly why or what purpose did it serve other than for aesthetics. Thanks, David!",,4,0,,,
2022,"I picked up a long led in a junk shop for 3 quid, and put it under the desk where the keyboard is, that way it doesnt ruin my view of the screen",,0,0,,,
2021,"wow, i was just looking for monitor lamps and you were in my subscription feed!",,3,0,,,
2021,damn i wish you had the Xiaomi one as a middle tier option to compare to as well,,2,0,,,
2022,"I have the Xiaomi. It's amazing! Works on a thick monitor as well. And I love the easy to use remote. 

The only thing I'm missing is an ambient light sensor. But that's not common among other brands as well.",,3,0,,,
2024,"Literally using that cheaper one right now, I like it perfectly fine",,0,0,,,
2021,been using a light bar for a year and can honestly say its one of my fav de-clutter purchases,,1,0,,,
2021,"I'm thrilled every time you upload a new video, feel like zen is coming!",,4,0,,,
2023,"Maybe this sounds weird but I like the fact that you don’t directly suggest one over the other, you just compare and contrast.",,0,0,,,
5年前（修改过）,This is so practical though it looks like ambient lights on the street. A nice way to secure more room around desks.,,0,0,,,
2021,Your voice is so soothing and calming. Can you read me a bedtime story?,,69,0,,,
2021,I like this because I can work without disturbing my parents,,0,0,,,
2021,This video is clutch! Been waiting for someone to do this comparison!,,5,0,,,
2023,"This is a momentary fashion that will pass - it's simply better to hang a lamp behind your monitors, so it doesn't actually shine on Your monitor surface, plus it won't hit Your eyes. .",,2,0,,,
2021,"Thanks for this - you're timing is excellent, was just considering this option. You do always provide excellent detail with honest and realistic comments.",,158,0,,,
2022,Glad to hear you include the clamp could damage bezeless displays.,,0,0,,,
2021,"I love my xiaomi one, wireless control is seamless and i cant imagine having to reach over to tap and hold/continuously tap the bar ti change the lighting settings.  Although you are correct in the fact that it wont fit thicker monitors, but most avg consumers wont have a super thick 40+ inch display and if they do, they most likely can afford the benq lightbar.",,19,0,,,
2021,"I’m unlucky enough to get the smallest room in the house. So I was forced to do some creative space management. I bought a bunk bed kinda thing but without the bottom bed, I sleep up top and the bottom space is used for my desk. It is pretty dark down below and I got one of those under cabinet lights to illuminate up my desk. The glare is pretty bad and it also shines directly in my face at times. I never knew these existed, now I know what I should be buying, thanks!",,1,0,,,
2022,"i just have 2 desklamps on a shelf above my monitor, they have arms that extend to the middle of the desk, quite perfect",,0,0,,,
2022,"Awesome vid! For the cheaper model, a cool thing you can do is remove that rubber part from the clamp, and simply tilt the back to hold it in place. That way it works with wider/any shape, similar to the BenQ. Only downside is no spring support if you do that but not a huge deal when you're saving almost $100",,38,0,,,
2021,"I found these a few months ago when I was trying to find a desk light. I didn't like the idea of having another thing on my desk, or clamped to it, so finding this was wonderful!",,0,0,,,
2021,"What the bad ass monitor that is, it's bigger than my living room TV",,0,0,,,
2021,Thanks for the review. I purchased the BenQ and couldn't be happier.,,1,0,,,
2021,"A pro that some might view as a con: I got a BenQ nearly a year ago and it had a quirk I didn't know was a malfunction. After months of dealing with it turning on its auto-dimmer itself and then fading off, I bothered to ask their support about it and they offered to replace it then and there. Such a great support system, just my idiocy that kept me from contacting them sooner.",,16,0,,,
2021,Welcome to weekly dose of aviation,,0,0,,,
2021,"Your voice is so clear and soft, I LOVE IT",,5,0,,,
2022,Thanks! Didn’t know monitor light bars are a thing. Concerned about casting a light source directly in front of a monitor.,,0,0,,,
2021,Well Damn. There's a thing that I didn't know existed but now need.,,0,0,,,
2021,"Thanks for this review, David :D. I just bought (the day before yesterday) the Quntis one here... and I returned it yesterday, just because of the counterbalance  being very light, like you mention here.
I was hesitating about other models with similar system, but looking at your video, the Benq model looks pretty solid, I will give it a try, it looks pretty promising (for that price range, it should).",,5,0,,,
2022,Now we just need one in R G B,,0,0,,,
2021,"I have the xiaomi one and I its great! The dial feels really premium and makes it so convenient. As you mentioned, the clamp is bit flimsy so the lamp leans towards the display a bit making a small glare which I don't notice too much. Great video as usual!",,11,0,,,
2021,Had the back light for years.  May add this,,0,0,,,
2021,I have actually been trying to pick between the two light bars so this is the exact video I was looking for! I will most likely get the Quintis following your comparison. Keep up the great content!,,5,0,,,
2022,"Behind monitor LED lighting is good enough to provide peripheral lighting.  Especially since it lights up the white wall backing, providing nice, pleasing-on-the-eye ambient light.",,0,0,,,
2021,Sweet! Now I just need to figure out where to put my webcam instead.,,21,0,,,
2021,"Damn, that's a badass monitor there",,1,0,,,
2021,I got my monitor light bar a few days ago. Now I can’t live without it!! The xiaomi lightbar is a good compromise between the two,,17,0,,,
2021,"Everyone I see a new David Zhang video, I click.

But a monitor light bar is my favorite accessory. I just wish there was a bar that would allow me to mount a webcam on top of it. For now, I duct taped a cheap Logitech webcam to my bar and call it done but I wish there was a more elegant solution.",,0,0,,,
2022,Investing is buying yourself a better future you don't have to work hard.,,117,0,,,
2022,"The Xiaomi lightbar has been great so far, picked it up in store last December.",,0,0,,,
2021,"If anyone looking for a cheap alternative, I would suggest Baseus monitor lamp. It have adjustment wheel for how bright you want it to be. The mounting system is wayyy better than the Benq one. It also have 3 lighting option. Been using it for few months and i have nothing to complain about it. Nice review btw. So",,3,0,,,
2023,"“I did what any rationale person would do.. i bought both” 
I was rolling as I heard that lolol.
GR8 content, love the review for both of these items !",,0,0,,,
2021,What's the wallpaper used in this video? I've been looking for its dark version for quite a while now. Thanks.,,5,0,,,
2021,Leaving the dust was a thoughtful touch. =),,0,0,,,
2021,"Someone else definitely already asked, but what monitor is that?!?",,3,0,,,
